ancestry,white,black,indig,asian,latino,mixed,other,N,meso,big,entropy,eplusone,eminusone,eplustwo,eminustwo
"Italian (1990-2000, ACS, PRCS)",1022933,1294.462,252.4902,188.2224,7550.601,2813.95,529.3448,1035562,1,1,0.0410514790117,0.0407387985435,0.0413670147921,0.0404169152858,0.0416699258637
Sicilian,6698.218,44.99492,3.678577,0,66.13421,51.53015,14.44368,6879,1,1,0.0809070133973,0.0759522964827,0.0859310251536,0.0708218753276,0.0908042753036
Luxemburger,2246.346,0,0,.5444697,1.660632,.2586231,.1905644,2249,1,1,0.00575570065817,0.00299428096328,0.00865312468166,-0.000235850854869,0.0106451990731
Maltese,2593.265,.1906722,.3589123,.9421448,6.729606,7.660534,50.85339,2660,1,1,0.0710169291754,0.063747958612,0.0781201718459,0.0564356363048,0.0850944906208
Norwegian,255698,111.6352,87.87914,31.95009,446.9342,480.9689,52.65145,256910,1,1,0.0187500106773,0.0182786585248,0.0192220403475,0.0178037299255,0.0197083971446
Portuguese,92786.24,742.7251,105.2072,98.73208,1317.81,1310.376,721.9066,97083,1,1,0.127370674858,0.125794132049,0.128910296692,0.124269554671,0.130517880279
Scotch Irish,301575.6,110.2521,43.61249,16.78984,345.056,529.7564,63.9803,302685,1,1,0.0148993143979,0.0145131102203,0.01528698219,0.0141068186461,0.0156638715098
Scottish,258425,265.1616,103.5061,15.67039,363.2034,650.4783,80.95006,259904,1,1,0.0221511223194,0.021646640122,0.0226582496835,0.0211413639303,0.0231636359334
Swedish,166435.4,62.8992,29.16921,25.23878,261.0768,298.49,56.744,167169,1,1,0.0176291388511,0.0170584638899,0.0182086443125,0.0164485677592,0.0187653914152
Swiss,38232.4,8.432942,14.55071,11.0844,98.12996,67.74809,14.65418,38447,1,1,0.021709647441,0.0204137781956,0.0229813491748,0.0191264308267,0.0242726028341
Romansch (1980),5114.389,3.501216,1.685023,0,5.166059,3.259057,0,5128,1,1,0.0114586127478,0.00882593394659,0.0140764208992,0.00581837830444,0.0165026946654
Welsh,60125.74,24.50861,18.30452,5.083906,81.20709,131.3076,31.84519,60418,1,1,0.0192716579627,0.0183016982806,0.0202616899702,0.0172812352791,0.0212504679865
"Scandinavian, Nordic",39048.39,48.44636,2.474953,19.11649,84.47316,50.13739,8.959105,39262,1,1,0.0214466888847,0.0201778149682,0.0227282306252,0.0188692515565,0.0239772649707
Albanian,14303.23,21.80207,11.52705,.1836315,35.74971,126.3134,15.19133,14514,1,1,0.0480458365675,0.0452568357639,0.0508204296794,0.0423378978335,0.0536532495444
Belourussian,3401.154,1.816112,0,0,1.57184,18.16112,.2973751,3423,1,1,0.0221988089364,0.0181664655078,0.0262255887965,0.0137511125787,0.0300189761588
Bulgarian,7185.694,.7097063,0,2.617618,18.42471,26.95962,3.594617,7238,1,1,0.0263187176086,0.0231613253188,0.0294838771394,0.0198909200833,0.032510501631
Carpatho Rusyn,58,0,0,0,0,0,0,58,1,1,-0.0,0.0,0.0,0.0,0.0
"Turkestani (1990-2000, 2012 ACS)",30.76402,0,0,5.868511,0,58.36747,0,95,1,1,0.435154871562,0.404537075703,0.466075238493,0.376663572339,0.501970189816
Croatian,23077.88,26.13391,1.31456,6.662687,86.12056,91.65969,3.224606,23293,1,1,0.0326624649677,0.030747749954,0.0345470973634,0.0287878255483,0.036440669868
Czechoslovakian,26162.56,8.548152,8.842916,10.00916,42.81766,46.44453,18.77518,26298,1,1,0.0207473211542,0.019213766949,0.0222843303451,0.0175301859523,0.0238404245323
Czech,52906.49,30.06547,9.614169,16.14066,86.73337,107.9233,18.02959,53175,1,1,0.020095524296,0.0190103246224,0.0211639484999,0.0179261724101,0.0221644918751
"Bohemian (1990-2000, ACS, PRCS)",17653.01,211.4102,7.058063,1.2073,60.09967,49.95039,3.263691,17986,1,1,0.057303777969,0.0546818376235,0.0599048631137,0.0520173076982,0.0624730075917
Estonian,2043.388,.6400971,0,0,4.399213,2.630217,.9426885,2052,1,1,0.0169658930637,0.0122189091398,0.0216111280322,0.00682330782169,0.0267020140607
Georgian,672.7725,4.395746,0,0,3.52617,1.74713,.5584432,683,1,1,0.0506402413702,0.0373693090092,0.0638213581663,0.0237103322136,0.0766353737286
German from Russia (1990-2000); German Russian (ACS),765.4602,182.7611,1.448709,0,10.77698,256.7866,11.76634,1229,1,1,0.514833048906,0.502944893136,0.526799767784,0.490558213697,0.539510106109
Rom,574.6002,2.653392,7.367293,.456811,60.00747,46.50725,26.40756,718,1,1,0.391335192108,0.370251262116,0.412647165081,0.349660384444,0.435003623272
Hungarian,74480.49,33.32401,5.854843,33.405,206.8287,184.3581,28.74196,74973,1,1,0.0247985484817,0.0238332935092,0.0257723567419,0.022822102016,0.0267397157257
Latvian,6203.039,2.572851,2.163534,24.14972,34.254,15.01609,20.80501,6302,1,1,0.053939003098,0.0492920730153,0.0584702977789,0.0446975876564,0.063123017917
Lithuanian,36317.52,26.69171,2.357554,6.185662,105.5647,65.55634,7.119346,36531,1,1,0.0221866152776,0.0208652280171,0.0235008265878,0.0194887695101,0.0247734249875
Macedonian,4048.299,0,0,0,15.76145,21.79047,8.149442,4094,1,1,0.0376674535779,0.032995751802,0.0423172851733,0.0281661128717,0.0467765473755
Polish,508089.8,305.5458,91.84585,44.40337,1181.863,965.4138,128.1759,510807,1,1,0.0205994804181,0.0202511140402,0.0209472016286,0.0199232064833,0.0212962522502
"Romanian (1990-2000, ACS, PRCS)",31196.01,32.28944,15.25776,10.88274,143.0004,136.692,19.87196,31554,1,1,0.0398672630063,0.038070575616,0.0416544841859,0.036253262666,0.0435345552791
Moldavian,147.6979,0,0,0,0,.3020982,0,148,1,1,0.00909496210039,-0.00583916816985,0.0150909096922,-0.0218989449884,0.0150909096922
Russian,178986.8,124.2733,13.15157,45.82251,535.7372,600.0871,125.1479,180431,1,1,0.0293458362072,0.0286702863095,0.0300244232033,0.0279917370246,0.0306698705381
"Serbian (1990-2000, ACS, PRCS)",11065.87,3.483927,0,0,37.73741,42.7629,2.147908,11152,1,1,0.0270337892381,0.024528909603,0.0294665717952,0.0220479822402,0.0319215108787
"Bosnian (1990), Herzegovinian (2000, ACS, PRCS) ",12466.45,.6499738,.4689684,17.51638,33.97964,135.2028,73.735,12728,1,1,0.0639636827974,0.0606678453149,0.0672298590488,0.0572009313735,0.0705632353267
"Montenegrin (1990-2000, 2012 ACS)",48,0,0,0,0,0,0,48,1,1,-0.0,0.0,0.0,0.0,0.0
Slovak,45902.21,12.89759,3.563808,7.454904,46.69315,46.8871,7.29732,46027,1,1,0.0116355928271,0.0107239994651,0.0125463206812,0.00978415225042,0.0134697916726
Slovene,10347.84,2.642619,.395158,0,14.83077,15.84337,3.445284,10385,1,1,0.0145401288717,0.0124798701625,0.0165997053429,0.01021604807,0.0185882586578
Uzbek,143.5299,0,0,.8231046,0,66.64702,0,211,1,1,0.335764782753,0.318908365789,0.352462182274,0.30322599941,0.370913709659
"Ukrainian (1990-2000, ACS, PRCS)",68509.4,20.6937,7.672569,14.46668,234.0245,242.1641,26.576,69055,1,1,0.0283851581811,0.0273342174428,0.0294310926156,0.0262549111682,0.030476725362
Yugoslavian,13167.87,14.14932,1.632613,2.002262,55.95038,41.62651,.7701006,13284,1,1,0.0310587616573,0.0285649608592,0.0335292429303,0.0260796846381,0.0360172117253
Slav,6766.108,40.84629,.4969711,3.005492,32.90659,52.98659,4.65023,6901,1,1,0.0627135926646,0.0581448484407,0.0672778699736,0.0534794517698,0.0716524925971
Slavonian,359.9403,.593074,0,0,2.946837,1.519752,0,365,1,1,0.0461254178336,0.0295595397276,0.0610822468664,0.0109718834197,0.0785844265145
"Mexican (1990-2000, ACS, PRCS)",17612.73,444.2622,188.4367,89.0993,1926635,779.5576,4279.793,1950029,6,5,0.0381617469922,0.0379512161579,0.038374170811,0.0377369170319,0.0385862859754
"Mexicano/Mexicana (1990-2000, ACS, PRCS)",421.861,4.688791,21.64659,0,115784,41.5479,184.2174,116458,6,5,0.0211635037082,0.0204649761882,0.0218790107699,0.0197158212271,0.0225663487896
Mexican Indian,162.226,19.075,22.88291,3.072899,1952.646,10.8747,2.22276,2173,6,5,0.217727007832,0.206720426547,0.228823871072,0.195091204513,0.240342249866
Mexican American,6010.424,113.6893,32.80674,13.65738,339716.2,332.5282,788.7443,347008,6,5,0.05933218612,0.0587606713435,0.0599040761086,0.0581722828037,0.060489005675
Mexican American Indian,459.4277,17.67822,223.0285,3.295635,11203.46,144.7841,43.32686,12095,6,5,0.181928427207,0.177181630367,0.186684478475,0.172441032544,0.191194083418
Chicano/Chicana,69.60263,1.921334,1.052159,2.367358,6572.725,5.638202,35.69336,6689,6,5,0.0542803573178,0.0500296801461,0.0584881649245,0.0456421673308,0.0626105602445
