ancestr1d,white,black,indig,asian,latino,mixed,other,raceshort,rancestry1,rancestry1s
"South Amerianc Indian (1990-2000, ACS, PRCS)",48.72632,31.48707,113.1088,22.22496,600.7832,38.29231,73.37732,928,3,3
"American Indian  (all tribes)",121632.8,9232.464,141852.5,895.7583,4976.153,34998.1,325.1744,313913,3,3
"Cherokee",28686.11,2245.232,9657.321,16.31469,226.6129,7406.571,22.83858,48261,3,3
"Native American",56248.74,3930.808,74445.17,57.65799,3139.284,13508.21,148.1316,151478,3,3
"Indian",53409.59,7756.904,116.6297,18546.42,625.6207,1443.214,1898.626,83797,3,3
"Aleut",63.02759,17.64773,1109.727,0,2.226975,253.3709,0,1446,3,3
"Eskimo",695.952,8.770458,11234.7,.8584839,65.24478,1041.991,2.482643,13050,3,3
"White/Caucasian (1990-2000, ACS, PRCS)",1043998,1323.729,418.0098,249.0466,9389.835,3673.309,236.2042,1059288,1,1
"Anglo (1990-2000, ACS, PRCS)",68109.06,23.92881,13.14113,5.851808,255.2152,107.4443,6.360661,68521,1,1
"Appalachian (1990-2000, ACS, PRCS)",1912.339,0,.1897986,.3202851,5.468571,9.845801,5.836306,1934,1,1
"French Canadian",167034.9,386.3828,847.8677,32.69632,292.1983,747.0379,25.94761,169367,1,1
"Acadian (1990-2000, ACS, PRCS)",1174.721,7.185976,0,2.139514,0,4.092983,.8604567,1189,1,1
"Cajun (1990-2000, ACS, PRCS)",8388.132,118.2458,13.57692,7.306224,31.00831,66.64197,8.088623,8633,1,1
