rancestry,year,white,black,indig,asian,latino,mixed,other,N,entropy,eplusone,eminusone,eplustwo,eminustwo
Asian,2011,7094.06,869.1075,683.9696,369267.9,1827.875,17066.88,2241.2,399051,0.51392577022,0.511618411693,0.516235471449,0.509245680869,0.518738737727
Latino,2011,14232.93,1111.719,253.5524,74.7513,945282.9,408.7996,1918.309,963283,0.15462846106,0.153665941559,0.155620609064,0.15270808086,0.15660991345
White/Black,2011,2689.567,7997.299,19.9904,2.279896,836.9863,20024.53,651.3483,32222,1.48309749584,1.47565793277,1.49056142242,1.46844994074,1.49727929544
White/Indig,2011,151196.5,1411.646,4855.955,54.60654,1826.126,23745.07,194.0952,183284,0.883837897347,0.880586866008,0.887216072646,0.877133037465,0.89097296725
White/Asian,2011,7608.947,91.13304,44.14301,2331.311,747.2646,20147.13,221.0721,31191,1.40130323659,1.3938869481,1.40873986694,1.38645864486,1.41556515169
White/Latino,2011,13082.5,82.75726,25.49752,1.351211,4339.948,56953.69,94.2601,74580,1.00384237521,0.999416122338,1.00828878589,0.994969942453,1.0121974906
Black/Indig,2011,403.444,12822.44,202.3709,29.58638,488.1957,7297.561,75.39834,21319,1.3095629004,1.30117144298,1.31816421336,1.29180016481,1.3271711014
Black/Asian,2011,46.62304,975.4623,6.505347,376.0754,191.713,3294.581,66.03963,4957,1.47686872102,1.45598874864,1.49807421982,1.43454057393,1.51930442106
Black/Latino,2011,117.5178,1875.81,1.614106,2.495237,1773.747,11119.31,63.50377,14954,1.14990650136,1.13941653181,1.16028202117,1.12747007963,1.17177936834
Indig/Asian,2011,421.7018,52.71635,582.2615,402.445,403.9747,4381.653,12.24723,6257,1.52745153267,1.50751594654,1.54835679592,1.48708287844,1.57029509426
Indig/Latino,2011,494.6874,51.08866,172.7805,5.297434,2786.31,3176.075,12.7612,6699,1.53072883158,1.51680756294,1.54435461813,1.50403710663,1.55764814697
Asian/Latino,2011,170.2621,16.31425,1.667023,251.5034,1610.64,4931.028,9.585383,6991,1.18280212603,1.16667251575,1.19835128328,1.1513073765,1.21306280364
